행정구역,2012 합계,2012 도서,2012 만화,2012 음악,2012 영화,2013 합계,2013 도서,2013 만화,2013 음악,2013 영화,총합계,총도서,총음악,총영화
전국,85972783,19881472,701559,3968902,4527865,91091200,20799789,797649,4277164,4664748,177063983,42180469,8246066,9192613
서울,59328043,12292234,342830,2451309,2866433,62180331,11765355,364334,2640542,2875817,121508374,24764753,5091851,5742250
부산,1886588,529184,22230,137703,188522,2112918,557846,9119,169115,179008,3999506,1118379,306818,367530
대구,1429587,466001,11365,115266,115607,1574508,413342,12880,170907,120396,3004095,903588,286173,236003
인천,1213936,314423,13484,116143,171039,1430868,408477,17342,99611,107353,2644804,753726,215754,278392
광주,802650,240693,8411,16271,76877,866234,269777,23248,17618,98161,1668884,542129,33889,175038
대전,1053705,220171,10016,60300,81218,1365781,242439,6813,32944,83871,2419486,479439,93244,165089
울산,453076,89323,4617,46443,34313,534287,135965,3330,31945,46788,987363,233235,78388,81101
경기,15008562,4802554,244769,561467,641629,15451091,5976145,300608,568700,720090,30459653,11324076,1130167,1361719
강원,508106,74605,4910,51373,38577,506080,61082,13004,52884,58426,1014186,153601,104257,97003
충북,581621,104587,5671,53415,41512,693310,83784,2223,26466,30194,1274931,196265,79881,71706
충남,580843,137681,6145,61484,44779,795610,210594,1844,31973,62697,1376453,356264,93457,107476
전북,510950,89282,4429,46351,49612,527737,97486,9932,30947,57863,1038687,201129,77298,107475
전남,404765,39048,4224,51214,31766,376784,48344,1312,41022,32559,781549,92928,92236,64325
경북,823067,231177,8238,88602,47774,1148090,271804,21564,260280,77613,1971157,532783,348882,125387
경남,981035,213636,8787,93102,80304,1316458,219703,5899,93147,96796,2297493,448025,186249,177100
제주,406249,36873,1433,18459,17903,211113,37646,4197,9063,17116,617362,80149,27522,35019
